input,accuracy,macro_f1,macro_auc,accuracy_ci_low,accuracy_ci_high
D-FFOCT,0.7215189873,0.7253851218,0.9224187031,0.5651998597,0.8390804598
SRS Lipid/Protein,0.6075949367,0.5851864035,0.8629907383,0.5124923780,0.6970057720
2PEF FAD/(FAD+NADH),0.8354430380,0.8395749153,0.9757759723,0.7121212121,0.9222435897
D-FFOCT + SRS,0.8860759494,0.8829557071,0.9799812473,0.8000000000,0.9473684211
D-FFOCT + 2PEF,0.8987341772,0.9015035775,0.9867565525,0.7901072125,0.9761974790
SRS + 2PEF,0.9113924051,0.9179699248,0.9884002589,0.8428174603,0.9655172414
Trimodal,0.9493670886,0.9508797772,0.9911389913,0.9090909091,0.9770114943
