input,bootstrap_seed,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,macro_auc_ovr,macro_auc_ci_low,macro_auc_ci_high
D-FFOCT,42,0.7215189873417721,0.5651998597475455,0.8390804597701149,0.7253851217906517,0.5827463305166856,0.8177735423762772,0.9224187031153444,0.8403986881189446,0.9690636937167252
SRS Lipid/Protein,43,0.6075949367088608,0.5124923780487805,0.6970057720057721,0.5851864035087719,0.48500106060211845,0.6761995030163634,0.8629907382869828,0.8107347445379807,0.902179031597536
2PEF FAD/(FAD+NADH),44,0.8354430379746836,0.7121212121212122,0.9222435897435898,0.8395749153253759,0.7102760025062658,0.9195309219533886,0.9757759723415621,0.9438378369228932,0.9928328155067427
D-FFOCT + SRS,45,0.8860759493670886,0.8,0.9473684210526315,0.882955707083614,0.8011863959136869,0.9394196364276455,0.9799812472772891,0.9390222182570366,0.9953791108150964
D-FFOCT + 2PEF,46,0.8987341772151899,0.7901072124756335,0.9761974789915966,0.9015035775214524,0.7777777777777778,0.9778741283747542,0.9867565525396407,0.9706225714980287,0.9991475213582195
SRS + 2PEF,47,0.9113924050632911,0.8428174603174603,0.9655172413793104,0.9179699248120301,0.8423484336263241,0.970369234640122,0.9884002588693972,0.9727111840500581,0.9965896311291048
Trimodal,20260812,0.9493670886075949,0.9090909090909091,0.9770114942528736,0.9508797771982356,0.9115604575163399,0.9760348583877996,0.9911389912923132,0.9690362413645403,0.9995257536844349
