step,epoch,learningRate,trainLoss,valLoss,selectionScore,H_bias_Hz,H_MAE_Hz,V_rel_bias_pct,V_rel_MAE_pct,V_mean_bias_pct
0,0,0,NaN,0.317287156979243,0.466200799869418,-0.136591011181573,2.47133382826076,0.08376004279522,14.235570232719,-6.71056896724642
60,1,3e-05,0.402826112508774,0.32225513127115,0.437874225848517,-0.229582477899539,2.48824676526055,2.64366458932109,15.2190994635995,-1.20874604199438
120,2,3e-05,0.404218565424283,0.322034577528636,0.442274030308129,-0.318432182646527,2.50454319193219,2.43844622450704,15.1418852684292,-1.22118409841114
180,3,3e-05,0.39926353196303,0.323408408297433,0.448379619474372,-0.518959140404073,2.51931061414955,3.05866997590914,15.276128792574,-0.244297430329254
240,4,3e-05,0.398236310978731,0.323716163635254,0.446640072555946,-0.367076244918734,2.49321920548514,3.5755666365566,15.5071119615576,0.603351573559241
300,5,3e-05,0.401073810458183,0.32123233543502,0.45047441483049,-0.484038144364721,2.52059004405093,2.10054385575481,14.9502194995166,-1.41081233212111
360,6,3e-05,0.404563456773758,0.323819607496262,0.448934097333293,-0.474139928089695,2.52176963966797,2.99667643536319,15.3731217041654,0.434494978447431
420,7,3e-05,0.404511891305447,0.321860982312096,0.439070771554296,-0.35350260786289,2.51042067966177,2.07719031107163,15.066561098664,-0.92588807869729
